avle_plus_normalized,ndvi_mean_t2,loss_area_ha_log,delta_ndvi_mean,delta_ndvi_std,temporal_factor_mean,label_id,label_name
0.773956,0.3777,3.8018,0.287413,0.192215,0.634027,3,critical_afforestation
0.438878,0.436813,3.95563,0.351176,0.133607,0.254587,0,monitoring_only
0.858598,0.88776,4.02736,0.680036,0.144438,0.508508,3,critical_afforestation
0.697368,0.167355,3.71173,0.0311914,0.0558633,0.577485,3,critical_afforestation
0.0941774,0.189321,2.6835,0.17908,0.00598928,0.745046,0,monitoring_only
0.975622,0.448296,2.57195,0.708537,0.149868,0.0240886,3,critical_afforestation
0.76114,0.235395,2.97072,0.295999,0.144159,0.554625,3,critical_afforestation
0.786064,0.647864,3.45111,0.178751,0.273522,0.116326,0,monitoring_only
0.128114,0.388542,3.6018,0.466305,0.0126115,0.260114,0,monitoring_only
0.450386,0.776966,3.58274,0.768862,0.0563014,0.0562693,2,assisted_regeneration
0.370798,0.698888,2.37696,0.747314,0.0656456,0.716611,1,targeted_replanting
0.926765,0.476645,3.45905,0.420473,0.037962,0.0614796,3,critical_afforestation
0.643865,0.775984,1.60379,0.0830382,0.212996,0.214871,1,targeted_replanting
0.822762,0.180655,4.69723,0.1173,0.0930917,0.0542989,2,assisted_regeneration
0.443414,0.564879,4.08703,0.250898,0.250706,0.907772,0,monitoring_only
0.227239,0.584106,3.27476,0.688925,0.105808,0.331508,0,monitoring_only
0.554585,0.296817,4.37212,0.639351,0.147405,0.879,2,assisted_regeneration
0.0638173,0.139697,4.39447,0.781084,0.210156,0.528928,0,monitoring_only
0.827631,0.528159,4.62099,0.404962,0.267617,0.532681,0,monitoring_only
0.631664,0.510942,3.88643,0.464095,0.0206105,0.0936745,2,assisted_regeneration
0.758088,0.622889,3.52067,0.252975,0.21575,0.015429,3,critical_afforestation
0.354526,0.270343,4.2329,0.409064,0.00652233,0.597172,0,monitoring_only
0.970698,0.243715,4.21915,0.578893,0.152308,0.219548,3,critical_afforestation
0.893121,0.882333,0.973187,0.0318172,0.16274,0.187516,3,critical_afforestation
0.778383,0.190951,4.24714,0.70979,0.185336,0.536317,3,critical_afforestation
0.194639,0.899527,2.49838,0.490402,0.170647,0.299676,0,monitoring_only
0.466721,0.675981,4.12912,0.250382,0.072229,0.517929,0,monitoring_only
0.0438038,0.603458,3.3309,0.258198,0.250812,0.586575,0,monitoring_only
