lag_1,lag_2,lag_3,lag_4,rolling_mean_3,rolling_std_3,trend_index,scenario_drift,target_carbon_tco2
348.612,332.691,317.873,328.409,341.634,8.14085,4,0,343.6
343.6,348.612,332.691,317.873,343.868,4.61636,5,0,339.391
339.391,343.6,348.612,332.691,335.373,10.8123,6,0,323.126
323.126,339.391,343.6,348.612,329.976,8.43042,7,0,327.411
327.411,323.126,339.391,343.6,323.51,3.72354,8,0,319.994
319.994,327.411,323.126,339.391,320.082,7.28583,9,0,312.84
312.84,319.994,327.411,323.126,319.548,6.49705,10,0,325.811
325.811,312.84,319.994,327.411,322.937,9.01055,11,0,330.16
330.16,325.811,312.84,319.994,329.371,3.23848,12,0,332.143
332.143,330.16,325.811,312.84,338.956,13.5536,13,0,354.564
354.564,332.143,330.16,325.811,367.086,42.6081,14,0,414.552
414.552,354.564,332.143,330.16,400.95,41.3,15,0,433.733
433.733,414.552,354.564,332.143,424.377,9.59867,16,0,424.846
424.846,433.733,414.552,354.564,425.247,8.29247,17,0,417.162
417.162,424.846,433.733,414.552,415.209,10.7477,18,0,403.619
403.619,417.162,424.846,433.733,410.017,6.80249,19,0,409.271
409.271,403.619,417.162,424.846,401.513,8.99716,20,0,391.65
391.65,409.271,403.619,417.162,396.307,11.3745,21,0,388.001
388.001,391.65,409.271,403.619,390.914,2.62416,22,0,393.092
393.092,388.001,391.65,409.271,396.962,11.4004,23,0,409.794
338.492,341.152,327.093,304.157,338.841,2.15775,4,0,336.879
336.879,338.492,341.152,327.093,337.967,0.942038,5,0,338.53
338.53,336.879,338.492,341.152,341.907,7.32555,6,0,350.312
350.312,338.53,336.879,338.492,346.626,7.02064,7,0,351.035
351.035,350.312,338.53,336.879,370.803,34.8679,8,0,411.063
411.063,351.035,350.312,338.53,389.23,33.1906,9,0,405.591
405.591,411.063,351.035,350.312,412.237,7.30323,10,0,420.055
420.055,405.591,411.063,351.035,418.245,11.8522,11,0,429.087
429.087,420.055,405.591,411.063,430.181,10.715,12,0,441.401
441.401,429.087,420.055,405.591,442.87,14.5729,13,0,458.122
